fecha,año,mes,distrito,archivo_fuente,relacionadas_con_personas,relacionadas_con_patrimonio,por_tenencia_armas,por_tenencia_drogas,por_consumo_drogas,personas_detenidas,accidentes_con_victimas,accidentes_sin_victimas,infracciones_alcohol_adultos,infracciones_alcohol_menores
2017-04-14,2017,4,ARGANZUELA,212616-92-policia-estadisticas.xlsx,8.0,9.0,3.0,8.0,3.0,17.0,22.0,23.0,43.0,1.0
2017-04-14,2017,4,BARAJAS,212616-92-policia-estadisticas.xlsx,11.0,8.0,1.0,1.0,0.0,15.0,7.0,11.0,57.0,3.0
2017-04-14,2017,4,CARABANCHEL,212616-92-policia-estadisticas.xlsx,52.0,29.0,1.0,31.0,0.0,51.0,29.0,41.0,350.0,3.0
2017-04-14,2017,4,CENTRO,212616-92-policia-estadisticas.xlsx,55.0,91.0,21.0,76.0,16.0,149.0,42.0,28.0,1055.0,0.0
2017-04-14,2017,4,CHAMARTÍN,212616-92-policia-estadisticas.xlsx,5.0,4.0,3.0,12.0,1.0,14.0,26.0,25.0,34.0,2.0
2017-04-14,2017,4,CHAMBERÍ,212616-92-policia-estadisticas.xlsx,5.0,10.0,0.0,3.0,1.0,3.0,17.0,23.0,28.0,0.0
2017-04-14,2017,4,CIUDAD LINEAL,212616-92-policia-estadisticas.xlsx,22.0,10.0,0.0,8.0,3.0,35.0,32.0,32.0,6.0,3.0
2017-04-14,2017,4,FUENCARRAL - EL PARDO,212616-92-policia-estadisticas.xlsx,11.0,6.0,0.0,8.0,2.0,11.0,22.0,25.0,125.0,0.0
2017-04-14,2017,4,HORTALEZA,212616-92-policia-estadisticas.xlsx,11.0,6.0,4.0,48.0,9.0,12.0,14.0,24.0,194.0,12.0
2017-04-14,2017,4,LATINA,212616-92-policia-estadisticas.xlsx,29.0,22.0,1.0,14.0,6.0,37.0,24.0,30.0,303.0,0.0
2017-04-14,2017,4,MONCLOA - ARAVACA,212616-92-policia-estadisticas.xlsx,22.0,20.0,2.0,15.0,1.0,6.0,30.0,22.0,41.0,3.0
2017-04-14,2017,4,MORATALAZ,212616-92-policia-estadisticas.xlsx,14.0,9.0,0.0,4.0,0.0,11.0,8.0,11.0,18.0,0.0
2017-04-14,2017,4,PUENTE DE VALLECAS,212616-92-policia-estadisticas.xlsx,36.0,37.0,3.0,14.0,3.0,85.0,28.0,47.0,219.0,0.0
2017-04-14,2017,4,RETIRO,212616-92-policia-estadisticas.xlsx,3.0,0.0,2.0,12.0,0.0,4.0,25.0,27.0,36.0,0.0
2017-04-14,2017,4,SALAMANCA,212616-92-policia-estadisticas.xlsx,3.0,23.0,3.0,15.0,2.0,33.0,28.0,38.0,27.0,8.0
2017-04-14,2017,4,SAN BLAS - CANILLEJAS,212616-92-policia-estadisticas.xlsx,31.0,20.0,1.0,26.0,0.0,21.0,22.0,34.0,106.0,5.0
2017-04-14,2017,4,SIN DISTRITO ASIGNADO,212616-92-policia-estadisticas.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-14,2017,4,TETUÁN,212616-92-policia-estadisticas.xlsx,14.0,17.0,2.0,5.0,1.0,33.0,24.0,27.0,6.0,0.0
2017-04-14,2017,4,USERA,212616-92-policia-estadisticas.xlsx,20.0,25.0,8.0,11.0,0.0,21.0,21.0,23.0,340.0,3.0
2017-04-14,2017,4,VICÁLVARO,212616-92-policia-estadisticas.xlsx,7.0,6.0,1.0,8.0,1.0,4.0,13.0,13.0,55.0,0.0
2017-04-14,2017,4,VILLA DE VALLECAS,212616-92-policia-estadisticas.xlsx,13.0,17.0,3.0,20.0,37.0,20.0,14.0,21.0,56.0,0.0
2017-04-14,2017,4,VILLAVERDE,212616-92-policia-estadisticas.xlsx,14.0,15.0,2.0,21.0,1.0,33.0,17.0,19.0,691.0,11.0
2017-05-14,2017,5,ARGANZUELA,212616-52-policia-estadisticas.xlsx,7.0,6.0,0.0,12.0,2.0,27.0,43.0,12.0,55.0,0.0
2017-05-14,2017,5,BARAJAS,212616-52-policia-estadisticas.xlsx,3.0,5.0,0.0,1.0,0.0,9.0,14.0,4.0,0.0,0.0
